name,contact_person,email,phone,address,rating,response_rate,avg_response_time,notes,is_active
TL Electrical,"","","","",3,75.0,24,Imported from EasyBuild,true
Logan Concrete Sawing and Drilling,"","","","",3,75.0,24,Imported from EasyBuild,true
POOL,"","","","",3,75.0,24,Imported from EasyBuild,true
Jopa Queensland,"","","","",3,75.0,24,Imported from EasyBuild,true
Fluid Building Approvals,"","","","",3,75.0,24,Imported from EasyBuild,true
Harvey's Mechanical & Welding Services Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
PRELIM,"","","","",3,75.0,24,Imported from EasyBuild,true
Dinkum Dunnies,"","","","",3,75.0,24,Imported from EasyBuild,true
Wayke Waterproofing. Ware,"","","","",3,75.0,24,Imported from EasyBuild,true
SCAFFOLD,"","","","",3,75.0,24,Imported from EasyBuild,true
Pre Hung Doors (PHD),"","","","",3,75.0,24,Imported from EasyBuild,true
TIMBER FRAME,"","","","",3,75.0,24,Imported from EasyBuild,true
Bunnings,"","","","",3,75.0,24,Imported from EasyBuild,true
PAINTER,"","","","",3,75.0,24,Imported from EasyBuild,true
MI Painting and Decorating Services Marko Lvanovic,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Admin,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Insurance,"","","","",3,75.0,24,Imported from EasyBuild,true
Joii Roofing,"","","","",3,75.0,24,Imported from EasyBuild,true
LANDSCAPING,"","","","",3,75.0,24,Imported from EasyBuild,true
Alex Wang Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
LEGAL,"","","","",3,75.0,24,Imported from EasyBuild,true
RENDER,"","","","",3,75.0,24,Imported from EasyBuild,true
ReadyMix Concrete (Was Excel Concrete Pty Ltd),"","","","",3,75.0,24,Imported from EasyBuild,true
PLSL,"","","","",3,75.0,24,Imported from EasyBuild,true
Austral Insulation,"","","","",3,75.0,24,Imported from EasyBuild,true
SEARCHES,"","","","",3,75.0,24,Imported from EasyBuild,true
Joii Landscaping,"","","","",3,75.0,24,Imported from EasyBuild,true
FLOOR COVERING,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Site,"","","","",3,75.0,24,Imported from EasyBuild,true
United Waste Services,"","","","",3,75.0,24,Imported from EasyBuild,true
DRIVEWAY,"","","","",3,75.0,24,Imported from EasyBuild,true
CONCRETOR,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Carpentry,"","","","",3,75.0,24,Imported from EasyBuild,true
LAND,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna Kitchen Material,"","","","",3,75.0,24,Imported from EasyBuild,true
Aspect Joinery Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
MACHINERY,"","","","",3,75.0,24,Imported from EasyBuild,true
Survey Mark,"","","","",3,75.0,24,Imported from EasyBuild,true
Ausreo Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
Sunstate Garage Doors (Travis Voigt TA),"","","","",3,75.0,24,Imported from EasyBuild,true
TERMITE PROTECTION,"","","","",3,75.0,24,Imported from EasyBuild,true
Bittn Australia Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
Austral - Rochedale,"","","","",3,75.0,24,Imported from EasyBuild,true
BRICKLAYER,"","","","",3,75.0,24,Imported from EasyBuild,true
SOFFIT,"","","","",3,75.0,24,Imported from EasyBuild,true
CONCRETE PUMPING,"","","","",3,75.0,24,Imported from EasyBuild,true
Harvey Norman Commercial QLD,"","","","",3,75.0,24,Imported from EasyBuild,true
Finlaysons Timber & Hardware Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
PLUMBER,"","","","",3,75.0,24,Imported from EasyBuild,true
Civic Shower Screens & Wardrobes,"","","","",3,75.0,24,Imported from EasyBuild,true
Cross Cranes,"","","","",3,75.0,24,Imported from EasyBuild,true
A1 Builders Finals Services Group,"","","","",3,75.0,24,Imported from EasyBuild,true
Riki's Resealing,"","","","",3,75.0,24,Imported from EasyBuild,true
ENGINEER,"","","","",3,75.0,24,Imported from EasyBuild,true
NATIONAL TILES CO PTY LTD,"","","","",3,75.0,24,Imported from EasyBuild,true
Queensland Stairs (RALSAD),"","","","",3,75.0,24,Imported from EasyBuild,true
PATIO,"","","","",3,75.0,24,Imported from EasyBuild,true
SEWAGE SYSTEMS,"","","","",3,75.0,24,Imported from EasyBuild,true
RETAINING WALL,"","","","",3,75.0,24,Imported from EasyBuild,true
TEMPORARY POWER,"","","","",3,75.0,24,Imported from EasyBuild,true
FENCING,"","","","",3,75.0,24,Imported from EasyBuild,true
Lovering Installations QLD,"","","","",3,75.0,24,Imported from EasyBuild,true
Sediment Erosion Control Services,"","","","",3,75.0,24,Imported from EasyBuild,true
DEMOLITION,"","","","",3,75.0,24,Imported from EasyBuild,true
HARDWARE,"","","","",3,75.0,24,Imported from EasyBuild,true
WATER,"","","","",3,75.0,24,Imported from EasyBuild,true
COLOUR CONSULTANT,"","","","",3,75.0,24,Imported from EasyBuild,true
APPLIANCES,"","","","",3,75.0,24,Imported from EasyBuild,true
Star Airconditioning,"","","","",3,75.0,24,Imported from EasyBuild,true
GAS,"","","","",3,75.0,24,Imported from EasyBuild,true
QBCC,"","","","",3,75.0,24,Imported from EasyBuild,true
DRAFTING,"","","","",3,75.0,24,Imported from EasyBuild,true
DATA COMMUNICATIONS,"","","","",3,75.0,24,Imported from EasyBuild,true
STAIRS,"","","","",3,75.0,24,Imported from EasyBuild,true
BALUSTRADING,"","","","",3,75.0,24,Imported from EasyBuild,true
ALARMS,"","","","",3,75.0,24,Imported from EasyBuild,true
TIMBER FLOORING,"","","","",3,75.0,24,Imported from EasyBuild,true
PLASTER BOARD,"","","","",3,75.0,24,Imported from EasyBuild,true
ELECTRICAL,"","","","",3,75.0,24,Imported from EasyBuild,true
PRIVACY SCREENS,"","","","",3,75.0,24,Imported from EasyBuild,true
SALES,"","","","",3,75.0,24,Imported from EasyBuild,true
HOME AUTOMATION,"","","","",3,75.0,24,Imported from EasyBuild,true
WINDOWS,"","","","",3,75.0,24,Imported from EasyBuild,true
Southern Star Windows (QLD),"","","","",3,75.0,24,Imported from EasyBuild,true
SEDIMENT CONTROL,"","","","",3,75.0,24,Imported from EasyBuild,true
DECORATIVE MOULDINGS,"","","","",3,75.0,24,Imported from EasyBuild,true
Chromagen Australia Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
TEMPORARY FENCING,"","","","",3,75.0,24,Imported from EasyBuild,true
H Design Hydraulic Engineering Group Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
Spot On Plumbing and Drainage,"","","","",3,75.0,24,Imported from EasyBuild,true
TRUSSES,"","","","",3,75.0,24,Imported from EasyBuild,true
La Rocca QLD Marble and Granite Pty Ltd,"","","","",3,75.0,24,Imported from EasyBuild,true
AIR CONDITIONING,"","","","",3,75.0,24,Imported from EasyBuild,true
Origin Energy,"","","","",3,75.0,24,Imported from EasyBuild,true
SKYLIGHTS,"","","","",3,75.0,24,Imported from EasyBuild,true
GMA Certification Group,"","","","",3,75.0,24,Imported from EasyBuild,true
INSURANCE,"","","","",3,75.0,24,Imported from EasyBuild,true
Hafele,"","","","",3,75.0,24,Imported from EasyBuild,true
All Industry Safety QLD (AIS),"","","","",3,75.0,24,Imported from EasyBuild,true
QUICK SPEC,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna T3D,"","","","",3,75.0,24,Imported from EasyBuild,true
Tekna   Admin,"","","","",3,75.0,24,Imported from EasyBuild,true
TILE,"","","","",3,75.0,24,Imported from EasyBuild,true
AW GEOTECHNICS,"","","","",3,75.0,24,Imported from EasyBuild,true
Accelerate Sustainability Assessments,"","","","",3,75.0,24,Imported from EasyBuild,true
The One Group,"","","","",3,75.0,24,Imported from EasyBuild,true
Keeler Hardware,"","","","",3,75.0,24,Imported from EasyBuild,true
EXTERNAL CLADDING,"","","","",3,75.0,24,Imported from EasyBuild,true
