item_code,old_price,new_price,change_reason,supplier_name,quote_reference,created_at
WEF,,67.0,supplier_quote,ELECTRICAL,"",2023-06-27
WEF,67.0,67.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
WEF,67.0,67.0,supplier_quote,All Clear Electrical,"",2023-09-02
WLP,,29.0,supplier_quote,ELECTRICAL,"",2023-06-27
WLP,29.0,29.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
WLP,29.0,29.0,supplier_quote,All Clear Electrical,"",2023-09-02
ILF,,4.0,supplier_quote,ELECTRICAL,"",2023-06-27
ILF,4.0,4.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
ILF,4.0,4.0,supplier_quote,All Clear Electrical,"",2023-09-02
TP,,37.0,supplier_quote,ELECTRICAL,"",2023-06-27
TP,37.0,37.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
TP,37.0,37.0,supplier_quote,All Clear Electrical,"",2023-09-02
TP,37.0,37.0,supplier_quote,RJF Installations,"",2023-09-02
TP,37.0,53.1,supplier_quote,All Clear Electrical,"",2024-12-30
WTWS,,23.0,supplier_quote,ELECTRICAL,"",2023-06-27
WTWS,23.0,23.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
WTWS,23.0,23.0,supplier_quote,All Clear Electrical,"",2023-09-02
WTWS,23.0,35.4,supplier_quote,All Clear Electrical,"",2024-02-19
DPP,,33.0,supplier_quote,ELECTRICAL,"",2023-06-27
DPP,33.0,33.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
DPP,33.0,33.0,supplier_quote,All Clear Electrical,"",2023-09-02
DPP,33.0,51.0,supplier_quote,TL Electrical,"",2024-05-30
DPP,51.0,48.79,supplier_quote,All Clear Electrical,"",2024-12-30
SPP,,28.0,supplier_quote,ELECTRICAL,"",2023-06-27
SPP,28.0,28.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
SPP,28.0,0.0,supplier_quote,All Clear Electrical,"",2023-09-02
SPP,0.0,50.0,supplier_quote,TL Electrical,"",2024-05-30
SPP,50.0,47.6,supplier_quote,All Clear Electrical,"",2024-12-30
ODPP,,57.0,supplier_quote,ELECTRICAL,"",2023-06-27
ODPP,57.0,57.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
ODPP,57.0,57.0,supplier_quote,All Clear Electrical,"",2023-09-02
ODPP,57.0,69.0,supplier_quote,TL Electrical,"",2024-05-30
ODPP,69.0,88.5,supplier_quote,All Clear Electrical,"",2024-12-30
SDHW,,87.0,supplier_quote,ELECTRICAL,"",2023-06-27
SDHW,87.0,87.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
SDHW,87.0,87.0,supplier_quote,All Clear Electrical,"",2023-09-02
SDHW,87.0,87.0,supplier_quote,RJF Installations,"",2023-09-02
WTV,,31.0,supplier_quote,ELECTRICAL,"",2023-06-27
WTV,31.0,31.0,supplier_quote,Latitude 28 Cabling Pty Ltd,"",2023-09-02
WTV,31.0,31.0,supplier_quote,All Clear Electrical,"",2023-09-02
WTV,31.0,58.0,supplier_quote,TL Electrical,"",2024-05-30
WTV,58.0,59.0,supplier_quote,All Clear Electrical,"",2024-12-30
CRUSHERDUST,,30.2,supplier_quote,LANDSCAPING,"",2023-06-27
CRUSHERDUST,30.2,333.83,supplier_quote,Jopa Queensland,"",2024-05-27
DRI,,120.0,supplier_quote,PRIVATE CERTIFIER,"",2023-06-27
DRI,120.0,120.0,supplier_quote,Fluid Building Approvals,"",2023-12-04
DRCB,,137.0,supplier_quote,PRIVATE CERTIFIER,"",2023-06-27
DRCB,137.0,137.0,supplier_quote,Fluid Building Approvals,"",2023-12-04
PDSSI,,74.0,supplier_quote,PRIVATE CERTIFIER,"",2023-06-27
PDSSI,74.0,74.0,supplier_quote,Fluid Building Approvals,"",2023-12-04
SITEWKS,,1.0,supplier_quote,SITE WORKS,"",2023-06-27
SITEWKS,1.0,1.0,supplier_quote,SITE CLEAN,"",2023-10-25
SITEWKS,1.0,1.0,supplier_quote,BWS Earthworks,"",2023-12-04
SITEWKS,1.0,1.0,supplier_quote,Heartwood Industries Pty Ltd,"",2024-02-28
SITEWKS1,,110.0,supplier_quote,SITE WORKS,"",2023-06-27
SITEWKS1,110.0,110.0,supplier_quote,SITE CLEAN,"",2023-10-25
SITEWKS1,110.0,110.0,supplier_quote,BWS Earthworks,"",2023-12-04
SITEWKS1,110.0,110.0,supplier_quote,Heartwood Industries Pty Ltd,"",2024-02-28
CCMIN,,170.0,supplier_quote,CONCRETE CUTTING,"",2023-06-27
CCMIN,170.0,170.0,supplier_quote,Logan Concrete Sawing and Drilling,"",2023-09-02
POOLAPOQUO,,1.0,supplier_quote,POOL,"",2023-06-27
BPBDELV,,35.0,supplier_quote,STEEL,"",2023-06-27
BPBDELV,35.0,35.0,supplier_quote,Harvey's Mechanical & Welding Services Pty Ltd,"",2023-09-02
PSTSTIR,,45.0,supplier_quote,STEEL,"",2023-06-27
PSTSTIR,45.0,45.0,supplier_quote,Harvey's Mechanical & Welding Services Pty Ltd,"",2023-09-02
SITEWELD,,82.0,supplier_quote,STEEL,"",2023-06-27
SITEWELD,82.0,82.0,supplier_quote,Harvey's Mechanical & Welding Services Pty Ltd,"",2023-09-02
BSACONTRAT,,10.0,supplier_quote,PRELIM,"",2023-06-27
QP1818,,1.19,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
QP1818,1.19,1.19,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
SDP4211,,1.06,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
SDP4211,1.06,1.06,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
SDP4218,,1.4,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
SDP4218,1.4,1.4,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
SDP6618,,2.71,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
SDP6618,2.71,2.71,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
MGP127035,,2.46,supplier_quote,TIMBER FRAME,"",2023-06-27
DECKBAL9019,,4.22,supplier_quote,TIMBER FRAME,"",2023-06-27
DECKM9019,,3.66,supplier_quote,TIMBER FRAME,"",2023-06-27
CUSHSTOP,,1.05,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
CUSHSTOP,1.05,1.05,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
HQ,,1.0,supplier_quote,HIRE,"",2023-06-27
HQ,1.0,1.0,supplier_quote,Dinkum Dunnies,"",2024-03-11
WS99,,250.0,supplier_quote,WET SEAL,"",2023-06-27
WS99,250.0,250.0,supplier_quote,Gold Coast Gappng,"",2023-09-02
WS99,250.0,250.0,supplier_quote,Nu Style Trade Pty Ltd,"",2023-09-02
WS99,250.0,250.0,supplier_quote,Heartwood Industries Pty Ltd,"",2023-09-02
WS99,250.0,250.0,supplier_quote,Wayke Waterproofing. Ware,"",2024-07-24
QHOP,,1.0,supplier_quote,SCAFFOLD,"",2023-06-27
QHOP,1.0,1.0,supplier_quote,Direct Scaffold Pty LTD,"",2023-09-05
QP111,,1.08,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
QP111,1.08,1.08,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
SDP9318,,2.71,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
SDP9318,2.71,3.23,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
MGP107035,,1.86,supplier_quote,TIMBER FRAME,"",2023-06-27
MGP109035,,2.05,supplier_quote,TIMBER FRAME,"",2023-06-27
MGP1019035,,5.65,supplier_quote,TIMBER FRAME,"",2023-06-27
WHR36,,16.1,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
WHR36,16.1,16.1,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
WHRE,,2.75,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
WHRE,2.75,2.75,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
WHRC,,1.5,supplier_quote,FIX-OUT MATERIALS,"",2023-06-27
WHRC,1.5,1.5,supplier_quote,Pre Hung Doors (PHD),"",2023-09-02
BNHG12100,,1.44,supplier_quote,HARDWARE,"",2023-06-27
BNHG12100,1.44,1.44,supplier_quote,Finlaysons Timber & Hardware Pty Ltd,"",2023-09-02
BNHG12100,1.44,1.44,supplier_quote,HARDWARE,"",2023-10-19
BNHG12100,1.44,1.44,supplier_quote,Bunnings,"",2024-02-26
BCG12130,,1.12,supplier_quote,HARDWARE,"",2023-06-27
