item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,is_active,needs_pricing_review,price_last_updated_at
DPP,Wiring of Double Power Point,"",Each,51.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
WEF,Wiring of Exhaust Fan including Supply Fan 250mm,"",Each,,,"","",true,true,
WLP,Wiring of Light Point,"",Each,,,"","",true,true,
ILF,Install Light Fittings,"",Each,,,"","",true,true,
TP,Telephone point,"",Each,,,"","",true,true,
SPP,Wiring of Single Power Point,"",Each,50.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
ODPP,Waterproof double power point,"",Each,69.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,"",Each,,,"","",true,true,
WTV,Wiring of TV point,"",Each,58.0,TL Electrical,"","",true,false,2025-11-04 01:40:10 UTC
WTWS,Wiring of Two way switch,"",Each,,,"","",true,true,
SITEWKS,Rock retaining as Quoted,"",POA,1.0,,"","",true,false,2025-11-04 01:40:10 UTC
SITEWKS1,Site cut as Directed,"",hours,110.0,,"","",true,false,2025-11-04 01:40:10 UTC
CCMIN,Cutting min Charge,"",Each,170.0,Logan Concrete Sawing and Drilling,"","",true,false,2025-11-04 01:40:10 UTC
POOLAPOQUO,Pool as per Quote,"",Each,1.0,POOL,"","",true,false,2025-11-04 01:40:10 UTC
CRUSHERDUST,Crusher Dust,"",M3,333.83,Jopa Queensland,"","",true,false,2025-11-04 01:40:10 UTC
DRI,Document Registration New Dwelling - Ipswich,"",Each,120.0,Fluid Building Approvals,"","",true,false,2025-11-04 01:40:10 UTC
DRCB,Document Registration Commercial - Brisbane,"",Each,137.0,Fluid Building Approvals,"","",true,false,2025-11-04 01:40:10 UTC
PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),"",Each,74.0,Fluid Building Approvals,"","",true,false,2025-11-04 01:40:10 UTC
BPBDELV,Brisbane post and beams delv,"",Each,35.0,Harvey's Mechanical & Welding Services Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
PSTSTIR,Post stirups as quoted,"",Each,45.0,Harvey's Mechanical & Welding Services Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
SITEWELD,Site work as directed,"",Each,82.0,Harvey's Mechanical & Welding Services Pty Ltd,"","",true,false,2025-11-04 01:40:10 UTC
BSACONTRAT,BSA One Pack Contract Kit,"",Each,10.0,PRELIM,"","",true,false,2025-11-04 01:40:10 UTC
HQ,Hire equipment as requested,"",Each,1.0,Dinkum Dunnies,"","",true,false,2025-11-04 01:40:10 UTC
WS99,Wet Seal Square 900 X 900,"",Each,250.0,Wayke Waterproofing. Ware,"","",true,false,2025-11-04 01:40:10 UTC
QHOP,Quote for Hang-on Platform,"",Each,1.0,SCAFFOLD,"","",true,false,2025-11-04 01:40:10 UTC
QP111,Quad Pine 11 X 11,"",lm,1.0818,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
QP1818,Quad Pine 18 X 18 Primed LOSP H3,"",lm,1.1909,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
SDP4211,Square Dressed Pine 42 X 11,"",lm,1.0636,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
SDP4218,Square Dressed Pine 42 X 18,"",lm,1.4,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
SDP6618,Square Dressed Pine 66 X 18,"",lm,2.7091,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
SDP9318,Square Dressed Pine 93 X 18,"",lm,3.23,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
MGP107035,Pine 70 X 35 MGP10,"",lm,1.8636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
MGP109035,Pine 90 X 35 MGP10,"",lm,2.0455,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
MGP1019035,Pine 190 X 35 MGP10,"",lm,5.6545,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
MGP127035,Pine 70 X 35 MGP12,"",lm,2.4636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,"",lm,4.2182,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
DECKM9019,Merbau 90 X 19 Decking Material,"",lm,3.6636,TIMBER FRAME,"","",true,false,2025-11-04 01:40:10 UTC
CUSHSTOP,Door Stop Cushion,"",Each,1.0545,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
WHR18,Wardrobe Hanging Rod 1800 X 19mm,"",Each,8.3727,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
WHR36,Wardrobe Hanging Rod 3600 X 19mm,"",Each,16.1,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
WHRE,Wardrobe Hanging Rod Ends,"",pairs,2.7545,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
WHRC,Wardrobe Hanging Rod Centres,"",Each,1.5,Pre Hung Doors (PHD),"","",true,false,2025-11-04 01:40:10 UTC
BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,"",Each,1.4364,Bunnings,"","",true,false,2025-11-04 01:40:10 UTC
